"기후기술분류별(1)",기후기술분류별(2),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p),2020,2020,2020,2020,2020,2020
"기후기술분류별(1)",기후기술분류별(2),합계,기술개발기,기술도입기,기술성장기,기술성숙기,기술쇠퇴기,합계,기술개발기,기술도입기,기술성장기,기술성숙기,기술쇠퇴기
"합계",소계,7379,478,302,5562,1019,19,7604,585,1533,4619,851,15
"감축",소계,6163,352,227,4704,868,12,6012,431,1181,3686,707,8
"감축",비재생에너지,84,7,2,57,17,2,78,34,20,18,7,0
"감축",재생에너지,2113,75,66,1780,187,5,2064,105,282,1518,159,0
"감축",신에너지,148,7,9,118,13,-,148,2,101,42,3,0
"감축",에너지저장,481,40,29,314,98,-,464,54,70,261,78,0
"감축",송배전&전력IT,433,11,15,362,46,-,424,0,265,120,39,0
"감축",에너지수요,2856,210,104,2029,506,6,2790,225,419,1718,419,8
"감축",온실가스 고정,48,2,2,44,-,-,45,11,24,8,1,0
"적응",소계,1049,92,65,766,122,5,1432,139,326,843,119,6
"적응",농업&축산,417,53,18,297,44,5,533,59,79,363,31,2
"적응",물관리,632,39,47,469,78,-,721,36,193,416,72,4
"적응",예측?모니터링,-,-,-,-,-,-,27,10,7,9,2,0
"적응",해양수산연안,-,-,-,-,-,-,58,7,22,20,9,0
"적응",건강,-,-,-,-,-,-,48,19,10,16,3,0
"적응",산림육상,-,-,-,-,-,-,45,8,15,19,2,0
"융복합",소계,167,34,10,92,29,2,159,15,26,90,26,2
"융복합",감축 및 적응 융복합,167,34,10,92,29,2,159,15,26,90,26,2
